SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,ModifiedDate
43669,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43669,PO14123169936,10-4020-000578,29747,283,1,895,895,5,15538,25877Vi80261,NULL,714.7043,70.5175,22.0367,807.2585,NULL,7/8/2005
43670,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43670,PO14384116310,10-4020-000504,29566,275,3,810,810,5,18017,105888Vi93490,NULL,6122.082,587.5603,183.6126,6893.2549,NULL,7/8/2005
43671,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43671,PO13978119376,10-4020-000200,29890,283,1,855,855,5,13693,25904Vi70960,NULL,8128.7876,780.8136,244.0042,9153.6054,NULL,7/8/2005
43672,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43672,PO13862153537,10-4020-000119,30067,282,6,464,464,5,3980,95915Vi20982,4,6124.182,587.6023,183.6257,6895.41,NULL,7/8/2005
43673,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43673,PO13775141242,10-4020-000618,29844,275,2,821,821,5,1417,35931Vi7271,NULL,3746.2015,357.9614,111.8629,4216.0258,NULL,7/8/2005
43674,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43674,PO12760141756,10-4020-000083,29596,282,6,458,458,5,19204,26081Vi99806,4,2624.382,251.9407,78.7315,2955.0542,NULL,7/8/2005
43675,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43675,PO12412186464,10-4020-000670,29827,277,3,631,631,5,11886,126121Vi61402,NULL,5716.3102,546.8759,170.8987,6434.0848,NULL,7/8/2005
43676,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43676,PO11861165059,10-4020-000017,29811,275,5,755,755,5,18153,36168Vi94127,NULL,14203.458,1363.266,426.0206,15992.7446,NULL,7/8/2005
43677,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43677,PO11049174786,10-4020-000679,29824,278,6,556,556,5,14030,16302Vi72763,4,7793.1108,747.1011,233.4691,8773.681,NULL,7/8/2005
43678,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43678,PO10817150168,10-4020-000203,29889,281,4,1021,1021,5,5093,66363Vi26658,NULL,9799.9243,942.074,294.3981,11036.3964,NULL,7/8/2005
3643679,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43679,PO10527142759,10-4020-000480,29761,278,6,525,525,5,5439,126365Vi28482,4,1316.0575,125.8032,39.3135,1481.1742,NULL,7/8/2005
43680,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43680,PO10730130087,10-4020-000491,29489,281,4,1069,1069,5,6653,126370Vi34642,NULL,11397.4992,1093.6394,341.7623,12832.9009,NULL,7/8/2005
43681,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43681,PO1189177803,10-4020-000423,29661,279,5,955,955,5,5301,16608Vi27707,NULL,13787.5434,1323.0668,413.4584,15524.0686,NULL,7/8/2005
43682,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43682,PO1566124200,10-4020-000486,29759,275,2,808,808,5,76,96712Vi373,NULL,3875.7229,371.8002,116.1876,4363.7107,NULL,7/8/2005
43683,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43683,PO2552113807,10-4020-000506,29497,283,1,889,889,5,13045,76866Vi67506,NULL,42813.4333,4107.1489,1283.484,48204.0662,NULL,7/8/2005
43684,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43684,PO3393188842,10-4020-000549,29912,279,5,971,971,5,267,37982Vi1394,NULL,5596.4705,537.2612,167.8941,6301.6258,NULL,7/8/2005
43685,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43685,PO4176124783,10-4020-000458,4830084,279,5,958,958,5,2519,108058Vi13146,NULL,2736.5678,263.201,82.2503,3082.0191,NULL,7/8/2005
43686,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43686,PO5075125561,10-4020-000344,29606,283,1,871,871,5,14612,48152Vi75759,NULL,3463.2998,332.4768,103.899,3899.6756,NULL,7/8/2005
43687,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43687,PO4959110829,10-4020-000269,29610,275,2,783,783,5,3235,128163Vi17021,NULL,1258.3767,120.8042,37.7513,1416.9322,NULL,7/8/2005
43688,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43688,PO5365136389,10-4020-000161,29718,275,2,771,771,5,12399,88200Vi64099,NULL,12718.0844,1222.8838,382.1512,14323.1194,NULL,7/8/2005
43689,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43689,PO5626159507,10-4020-000166,29646,277,4,578,578,5,13054,98228Vi67566,NULL,33997.3702,3271.4942,1022.3419,38291.2063,NULL,7/8/2005
43690,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43690,PO6235146326,10-4020-000431,4829533,275,3,801,801,5,2337,28321Vi12181,NULL,1297.5901,124.2027,38.8133,1460.6061,NULL,7/8/2005
43691,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43691,PO6409111675,10-4020-000292,29570,277,4,592,592,5,242,28360Vi1235,NULL,874.794,83.9802,26.2438,985.018,NULL,7/8/2005
43692,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43692,PO7859187017,10-4020-000221,29992,281,4,1024,1024,5,7176,108529Vi37251,NULL,38510.8973,3696.3979,1155.1244,43362.4196,NULL,7/8/2005
43693,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43693,PO8120182325,10-4020-000485,4829491,275,5,807,807,5,8937,128548Vi46064,NULL,20541.4072,1969.5564,615.4864,23126.45,NULL,7/8/2005
43694,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43694,PO9657130250,10-4020-000315,29549,279,5,943,943,5,7083,118748Vi36747,NULL,20645.634,1978.3257,618.2268,23242.1865,NULL,7/8/2005
43695,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43695,PO10179176559,10-4020-000027,29958,279,5,911,911,5,10163,128786Vi52413,NULL,39373.781,3787.4632,1183.5823,44344.8265,NULL,7/8/2005
43696,3,7/1/2005,7/13/2005,7/8/2005,5,0,SO43696,PO9947131800,10-4020-000603,29849,279,5,977,977,5,1402,98787Vi7192,NULL,419.4589,40.2681,12.5838,472.3108,NULL,7/8/2005
43697,3,7/1/2005,7/13/2005,7/8/2005,5,1,SO43697,NULL,10-4030-021768,21768,NULL,6,23148,23148,1,4319,530200Vi22686,4,3578.27,286.2616,89.4568,3953.9884,NULL,7/8/2005
43698,3,7/1/2005,7/13/2005,7/8/2005,5,1,SO43698,NULL,10-4030-028389,28389,NULL,7,24593,24593,1,16625,1231736Vi86048,8,3399.99,271.9992,84.9998,3756.989,NULL,7/8/2005
43699,3,7/1/2005,7/13/2005,7/8/2005,5,1,SO43699,NULL,10-4030-025863,25863,NULL,1,19613,19613,1,5796,333376Vi30244,NULL,3399.99,271.9992,84.9998,3756.989,NULL,7/8/2005
43700,3,7/1/2005,7/13/2005,7/8/2005,5,1,SO43700,NULL,10-4030-014501,14501,NULL,4,20278,20278,1,12860,733791Vi66509,NULL,699.0982,55.9279,17.4775,772.5036,NULL,7/8/2005
43701,3,7/1/2005,7/13/2005,7/8/2005,5,1,SO43701,NULL,10-4030-011003,11003,NULL,9,20425,20425,1,11150,335093Vi57504,2,3399.99,271.9992,84.9998,3756.989,NULL,7/8/2005
43702,3,7/2/2005,7/14/2005,7/9/2005,5,1,SO43702,NULL,10-4030-027645,27645,NULL,4,22584,22584,1,8087,1230194Vi41919,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/9/2005
43703,3,7/2/2005,7/14/2005,7/9/2005,5,1,SO43703,NULL,10-4030-016624,6416624,NULL,9,23967,23967,1,9497,1234632Vi48985,15,3578.27,286.2616,89.4568,3953.9884,NULL,7/9/2005
43704,3,7/2/2005,7/14/2005,7/9/2005,5,1,SO43704,NULL,10-4030-011005,11005,NULL,9,16025,16025,1,1988,835095Vi10342,15,3374.99,269.9992,84.3748,3729.364,NULL,7/9/2005
43705,3,7/2/2005,7/14/2005,7/9/2005,5,1,SO43705,NULL,10-4030-011011,11011,NULL,9,27345,27345,1,7205,1035101Vi37381,15,3399.99,271.9992,84.9998,3756.989,NULL,7/9/2005
43706,3,7/3/2005,7/15/2005,7/10/2005,5,1,SO43706,NULL,10-4030-027621,27621,NULL,4,13264,13264,1,10912,230189Vi56258,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/10/2005
43707,3,7/3/2005,7/15/2005,7/10/2005,5,1,SO43707,NULL,10-4030-027616,6427616,NULL,4,20923,20923,1,19069,230298Vi99064,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/10/2005
43708,3,7/3/2005,7/15/2005,7/10/2005,5,1,SO43708,NULL,10-4030-020042,20042,NULL,10,18427,18427,1,4369,130402Vi22912,35,699.0982,55.9279,17.4775,772.5036,NULL,7/10/2005
43709,3,7/3/2005,7/15/2005,7/10/2005,5,1,SO43709,NULL,10-4030-016351,16351,NULL,9,13951,13951,1,15524,1034602Vi80214,28,3578.27,286.2616,89.4568,3953.9884,NULL,7/10/2005
43710,3,7/3/2005,7/15/2005,7/10/2005,5,1,SO43710,NULL,10-4030-016517,16517,NULL,9,25446,25446,1,5764,1134614Vi30135,28,3578.27,286.2616,89.4568,3953.9884,NULL,7/10/2005
43711,3,7/4/2005,7/16/2005,7/11/2005,5,1,SO43711,NULL,10-4030-027606,27606,NULL,1,18404,18404,1,3043,430293Vi16007,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/11/2005
3643712,3,7/4/2005,7/16/2005,7/11/2005,5,1,SO43712,NULL,10-4030-013513,13513,NULL,8,21867,21867,1,6213,1231128Vi32292,45,3578.27,286.2616,89.4568,3953.9884,NULL,7/11/2005
43713,3,7/5/2005,7/17/2005,7/12/2005,5,1,SO43713,NULL,10-4030-027601,27601,NULL,4,11855,11855,1,16570,830288Vi85808,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/12/2005
43714,3,7/5/2005,7/17/2005,7/12/2005,5,1,SO43714,NULL,10-4030-013591,13591,NULL,10,15169,15169,1,15963,1031124Vi82522,61,3578.27,286.2616,89.4568,3953.9884,NULL,7/12/2005
43715,3,7/5/2005,7/17/2005,7/12/2005,5,1,SO43715,NULL,10-4030-016483,16483,NULL,9,28213,28213,1,7985,1134605Vi41375,54,3578.27,286.2616,89.4568,3953.9884,NULL,7/12/2005
43716,3,7/5/2005,7/17/2005,7/12/2005,5,1,SO43716,NULL,10-4030-016529,16529,NULL,9,23557,23557,1,5873,534626Vi30635,54,3578.27,286.2616,89.4568,3953.9884,NULL,7/12/2005
43717,3,7/5/2005,7/17/2005,7/12/2005,5,1,SO43717,NULL,10-4030-025249,25249,NULL,9,11809,11809,1,5700,1235425Vi29858,54,699.0982,55.9279,17.4775,772.5036,NULL,7/12/2005
43718,3,7/6/2005,7/18/2005,7/13/2005,5,1,SO43718,NULL,10-4030-027668,27668,NULL,1,25346,25346,1,3049,530203Vi16052,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/13/2005
43719,3,7/6/2005,7/18/2005,7/13/2005,5,1,SO43719,NULL,10-4030-027612,27612,NULL,4,13854,13854,1,5998,1130295Vi31203,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/13/2005
43720,3,7/6/2005,7/18/2005,7/13/2005,5,1,SO43720,NULL,10-4030-013264,13264,NULL,8,18584,18584,1,2765,831105Vi14399,71,3578.27,286.2616,89.4568,3953.9884,NULL,7/13/2005
43721,3,7/6/2005,7/18/2005,7/13/2005,5,1,SO43721,NULL,10-4030-013590,13590,NULL,10,22146,22146,1,11950,331111Vi61776,74,3578.27,286.2616,89.4568,3953.9884,NULL,7/13/2005
43722,3,7/7/2005,7/19/2005,7/14/2005,5,1,SO43722,NULL,10-4030-013581,13581,NULL,10,23990,23990,1,12191,331099Vi63048,87,3578.27,286.2616,89.4568,3953.9884,NULL,7/14/2005
43723,3,7/7/2005,7/19/2005,7/14/2005,5,1,SO43723,NULL,10-4030-014520,6414520,NULL,1,12708,12708,1,16949,833793Vi87871,NULL,699.0982,55.9279,17.4775,772.5036,NULL,7/14/2005
43724,3,7/7/2005,7/19/2005,7/14/2005,5,1,SO43724,NULL,10-4030-016520,16520,NULL,9,25572,25572,1,6336,834617Vi32891,80,3578.27,286.2616,89.4568,3953.9884,NULL,7/14/2005
43725,3,7/8/2005,7/20/2005,7/15/2005,5,1,SO43725,NULL,10-4030-013258,13258,NULL,8,23444,23444,1,6640,832136Vi34578,97,3578.27,286.2616,89.4568,3953.9884,NULL,7/15/2005
43726,3,7/8/2005,7/20/2005,7/15/2005,5,1,SO43726,NULL,10-4030-014560,14560,NULL,4,25989,25989,1,8533,533796Vi44130,NULL,699.0982,55.9279,17.4775,772.5036,NULL,7/15/2005
43727,3,7/8/2005,7/20/2005,7/15/2005,5,1,SO43727,NULL,10-4030-016607,16607,NULL,9,15502,15502,1,11407,834627Vi58835,93,3578.27,286.2616,89.4568,3953.9884,NULL,7/15/2005
43728,3,7/9/2005,7/21/2005,7/16/2005,5,1,SO43728,NULL,10-4030-027666,27666,NULL,4,20616,20616,1,15630,130201Vi80748,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/16/2005
43729,3,7/9/2005,7/21/2005,7/16/2005,5,1,SO43729,NULL,10-4030-011238,11238,NULL,10,12420,12420,1,2636,831735Vi13701,113,3399.99,271.9992,84.9998,3756.989,NULL,7/16/2005
43730,3,7/9/2005,7/21/2005,7/16/2005,5,1,SO43730,NULL,10-4030-025861,25861,NULL,4,23733,23733,1,13323,333375Vi69103,NULL,3399.99,271.9992,84.9998,3756.989,NULL,7/16/2005
43731,3,7/9/2005,7/21/2005,7/16/2005,5,1,SO43731,NULL,10-4030-016629,16629,NULL,9,14019,14019,1,14302,834633Vi74142,106,3578.27,286.2616,89.4568,3953.9884,NULL,7/16/2005
43732,3,7/9/2005,7/21/2005,7/16/2005,5,1,SO43732,NULL,10-4030-011025,11025,NULL,9,21635,21635,1,10882,1235104Vi56140,106,3374.99,269.9992,84.3748,3729.364,NULL,7/16/2005
43733,3,7/9/2005,7/21/2005,7/16/2005,5,1,SO43733,NULL,10-4030-027577,27577,NULL,1,24572,24572,1,10600,135716Vi54667,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/16/2005
43734,3,7/10/2005,7/22/2005,7/17/2005,5,1,SO43734,NULL,10-4030-027604,27604,NULL,1,23224,23224,1,15365,330290Vi79368,NULL,3578.27,286.2616,89.4568,3953.9884,NULL,7/17/2005
43735,3,7/10/2005,7/22/2005,7/17/2005,5,1,SO43735,NULL,10-4030-016522,16522,NULL,9,25384,25384,1,6526,1034619Vi33896,119,3578.27,286.2616,89.4568,3953.9884,NULL,7/17/2005
43736,3,7/10/2005,7/22/2005,7/17/2005,5,1,SO43736,NULL,10-4030-011002,11002,NULL,9,20336,20336,1,1416,1135092Vi7270,119,3399.99,271.9992,84.9998,3756.989,NULL,7/17/2005
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
